Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Prosjektleder innen IKT ledelse og strategi,Prosjektledelse,"Minimum 10 års erfaring innen ledelse av komplekse digitaliseringsprosjekter, utdanning på masternivå, god forståelse av sikkerhetsloven, sertifisert innen prosjektledelse.","Erfaring med utvikling av nasjonale fellesløsninger som Altinn og MinID, implementering og bruk av samhandlingsplattformer, erfaring med informasjonssikkerhet.","Gode pedagogiske ferdigheter, motivere og veilede for digital samhandling, erfaring med personalledelse.",Direktoratet for strålevern og atomsikkerhet (DSA),Helse,2023
Prosjektkoordinator til DigiUng produktteam,Prosjektledelse,Erfaren prosjektkoordinator med minst 5 års erfaring som prosjektleder i digitaliseringsprosjekter. Konsulenten skal ha ledet arbeid på tvers av sektorer og ha god skriftlig og muntlig fremstillingsevne på norsk.,"Konsulenten skal ha minst 5 års erfaring som prosjektleder i digitaliseringsprosjekter. Konsulenten skal ha ledet prosjekt med ungdom som målgruppe. Konsulenten bør ha erfaring med smidig utvikling, brukermedvirkning, ledelse av teknisk utvikling innen helsesektoren, og koordinering av parallellprosjekter.","Tilpasningsdyktig, fleksibel, god relasjonsbygger, motiveres av tverrsektorielt samarbeid og ungdomsmålgruppen.",Helsedirektoratet,Helse,2024
Løsningsarkitekt til prosjekt,Løsningsarkitektur,"Erfaren løsningsarkitekt med bred og dyp kompetanse innen identifikasjon, modellering og implementering av arkitektoniske konsepter og alternativer.","Minimum 3-4 års arbeidserfaring innen utarbeidelse, beskrivelse og vurdering av arkitektur- og løsningskonsepter samt erfaring med håndtering av sensitive personopplysninger.","Selvgående, strukturert, fleksibel, nysgjerrig og gode kommunikasjonsevner.",Folkehelseinstituttet,Helse,2024
Løsningsarkitekt til prosjekt FIDA,Løsningsarkitektur,,,,Folkehelseinstituttet,Helse,2024
Løsningsarkitekt,Løsningsarkitektur,"3 års relevant utdanning fra høgskole/universitet. Relevant utdanning utover 3 år, herunder også relevante kurs og sertifiseringer, vil gi ekstra uttelling i evalueringen. Meget god kompetanse og erfaring innen mikrotjenestebasert arkitektur, informasjonsmodellering ved bruk av UML, og sentrale Microsoft Azure-komponenter.",Erfaring fra tilsvarende prosjekter som løsningsarkitekt. Besvarelsen skal omfatte maksimalt tre prosjekter.,God norsk skriftlig og muntlig framstillingsevne. Meget god kompetanse og erfaring med å kommunisere tekniske konsepter tydelig til både tekniske og ikke-tekniske interessenter og evne til å samarbeide tett med utviklingsteam og forretning.,Brønnøysundregistrene,Offentlig og stat,2023
Midlertidig avdelingsleder – Digitale fellestjenester,Midlertidig lederrolle,"Kunnskap om og erfaring med utbredelse av digitale løsninger, med tilhørende endring av arbeidsprosesser.","Minimum 3 års erfaring fra organisering av IT-funksjoner og/eller ledelse av etablering/drift eller utvikling av tjenesteleverandørselskaper, fortrinnsvis på nasjonalt nivå eller konsernnivå.","Strukturert, evner å håndtere mange problemstillinger i parallell, og evner å legge godt til rette for samspill og medvirkning.",KS,Kommuner,2023
Anskaffelsesrådgiver med prosjektlederkompetanse,Rådgivning teknisk,"Høyere akademisk utdanning og relevant tilleggsutdanning, sertifiseringer innen offentlig anskaffelser og prosjektledelse","God erfaring fra prosjektledelse i offentlig sektor generelt, og fra ledelse av IT-anskaffelsesprosjekter i offentlig sektor spesielt. Erfaring fra anskaffelse av digitale plattformer.","Kommunisere klart og tydelig både på norsk og engelsk, både skriftlig og muntlig. Må kunne stille med erstatningsressurs i tilfelle sykdom eller annet fravær. Takle kontinuitet og kunne tilpasse kapasitet etter aktivitet i prosjektet.",KS,Kommuner,2023
Fagsjef eHelse,Rådgivning teknisk,"Offentlig forvaltning og politiske prosesser på helse- og omsorgsområdet, god teknologisk forståelse for området, god innsikt i samspillet mellom teknologi og tjenester i det kommunale helse- og omsorgsområdet.","Dokumentert erfaring fra Direktoratet for e-helse, Lørenskog kommune og NAV i Norge og prosjekter hos Sundhedsstyrelsen, Region Hovedstaden og Ørsted i Danmark.",,KS,Kommuner,2023
Midlertidig fagsjef eHelse,Midlertidig lederrolle,"Relevant utdanning fra universitet eller høyskole, gjerne på masternivå. God kjennskap til aktørene og helsemyndighetene i digitaliseringsarbeidet i norsk helse- og omsorgssektor. God innsikt i offentlig forvaltning og politiske prosesser på helse- og omsorgsområdet. God strategisk forståelse og erfaring fra samspillet mellom administrasjon og politikk. God teknologisk forståelse og innsikt i samspillet mellom teknologi og tjenester i kommunal helse- og omsorg.","Ledererfaring, gjerne fra kunnskapsorganisasjoner, men spesielt vil ledererfaring innen kommunal helse- og omsorg vektlegges.","Evne til å etablere gode relasjoner og skape tillit internt og eksternt gjennom å kommunisere med faglig tyngde og naturlig autoritet, samt til å tilpasse budskapet til ulike målgrupper.",KS,Kommuner,2023
Senior ressurs med spisskompetanse i lavkodeverktøy Zoho Creator,Rådgivning teknisk,"Dokumentert erfaring fra lavkodeverktøyet Zoho Creator. Dokumentert erfaring med skriptspråket Deluge, gjerne med knytning til HTML. Dokumentert erfaring med utvikling av verktøy for porteføljestyring og veikart. Dokumentert erfaring fra helsesektoren. Dokumentert erfaring fra virksomhetarkitektur. God skriftlig og muntlig fremstillingsevne på norsk.",Mer enn 9 års erfaring,"Kontinuerlig kompetanseoverføring til ansatte, samarbeid med prosessleder og fagressurser. Evne til å bistå i feilretting og utviklingsoppgaver.",Direktoratet for e-helse,Helse,2023
Senior ressurs med spisskompetanse i lavkodeverktøy Zoho Creator,Rådgivning teknisk,"Dokumentert erfaring fra lavkodeverktøyet Zoho Creator, Dokumentert erfaring med skriptspråket Deluge, gjerne med knytning til HTML",Mer enn 9 års erfaring,"God skriftlig og muntlig fremstillingsevne på norsk, evne til kontinuerlig kompetanseoverføring",Direktoratet for e-helse,Helse,2023
Revisor for styringssystem for informasjonssikkerhet,Offentlig kvalitetssikring,"Erfaring fra sikkerhetsstyring og ledelse med fokus på informasjonssikkerhet, erfaring med revisjonsoppdrag innenfor ISMS","Må kunne vise til leveranser de siste tre år med relevans for denne anskaffelsen, erfaring med revisjonsoppdrag innenfor ISMS",,Utenriksdepartementet (UD),Offentlig og stat,2023
Revisjon av styringssystem for informasjonssikkerhet (ISMS),Offentlig kvalitetssikring,Erfaring fra sikkerhetsstyring og ledelse med fokus på informasjonssikkerhet.,Konsulenten må være sikkerhetsklarert på nivå HEMMELIG.,,Utenriksdepartementet,Offentlig og stat,ukjent
Kvalitetsikrer IKT-faglig og strategisk rådgivning,Rådgivning teknisk,Kvalitetssikring og rådgivning fra digitaliseringsprosjekter i offentlig sektor; Kompetanse og erfaring knyttet til etablering av smidig produkt- og tjenesteutvikling; Kompetanse og erfaring fra prosjektveiviser og DevOps; Gode språkkunnskaper på norsk,"Erfaring fra tradisjonell prosjektgjennomføring, smidig prosjektgjennomføring og produktorientert gjennomføring","Gode kommunikasjonsegenskaper, både skriftlig og muntlig; Kjennskap til IMDi og utlendingsforvaltningen er en fordel",Integrerings- og mangfoldsdirektoratet (IMDi),Offentlig og stat,2023
Domenearkitekt dataplattform,Løsningsarkitektur,"Minimum 8 års erfaring som domenearkitekt/arkitekt dataplattform, hvorav 5 år i skybaserte plattformer.",Erfaring fra utvikling av målarkitektur for dataplattform med moderne arkitektur og arkitekturgovernance.,"God skriftlig og muntlig fremstillingsevne, gode samarbeidsevner og kommunikasjonsevner, evne til å utfordre etablerte sannheter, evne til å gjøre arbeidet relevant for Kundens situasjon og ambisjon.",Statens vegvesen,Offentlig og stat,2023
Testleder,Test og kvalitetsikring,"Høyere utdannelse på minimum Bachelornivå, erfaring med teststrategi, testplanlegging og testrapportering, relevant testsertifisering som f.eks. ISTQB, god kjennskap til testadministrasjonsverktøy som Azure DevOps med Test Plans eller tilsvarende, fordel med lederegenskaper.","Erfaring med gjennomføring av test og testledelse i utviklingsprosjekter, gjerne fra smidige leveranseløp.","God muntlig og skriftlig fremstillingsevne på norsk og engelsk, tydelige lederegenskaper er en fordel.",Integrerings- og mangfoldsdirektoratet (IMDi),Offentlig og stat,2023
Scrum master,Lede agilt team,"Relevant Scrum Master sertifisering som f.eks. CSM, PSM eller lignende, tilstrekkelig teknisk innsikt til å kommunisere med tekniske og ikke-tekniske ressurser.",Erfaring som Scrum master i utviklingsprosjekter.,"Motivere, bygge og coache smidige produktteam, god teamdynamikk.",Integrerings- og mangfoldsdirektoratet (IMDi),Offentlig og stat,2023
Prosjektleder til utarbeidelse av styringsindikatorer,Prosjektledelse,"Erfaring med gjennomføring av lignende oppdrag innen offentlig sektor og kompetanse innen kommunal virksomhetsstyring, ledelse, kontroll og måloppnåelse.","Bred og variert erfaring, men dokumentert erfaring fra lignende oppdrag innen offentlig sektor er ikke vist.",Forståelse av oppdraget med vekt på suksesskriterier og fallgruver; evne til å legge til rette for viktige prosesser for å engasjere og nå faglig kvalitet.,Drammen kommune,Kommuner,2023
Prosjektleder for fremtidsrettet tjenestetildeling,Prosjektledelse,Mer enn 4 års relevant kompetanse og erfaring; beherske norsk både skriftlig og muntlig,"Relevant erfaring fra prosjektledelse; erfaring med bruk av prosjektveiviseren eller Prince2; erfaring fra tverrfaglige prosjekter i offentlig sektor, fortrinnsvis kommunal sektor","Evne til å identifisere relevante interessenter, etablere nettverk og opprettholde interessentengasjement; forståelse for oppdragsgivers strategi samt samspillet med det politiske miljøet; god framstillings- og formidlingsevne",Drammen kommune,Kommuner,2023
Innkjøpsfaglig bistand IKT anskaffelser,Rådgivning teknisk,"Relevant erfaring fra IKT anskaffelser og konkurranse med forhandling, erfaring fra gjennomføring av anskaffelser fra Politiet, erfaring med SSA-L, muntlig og skriftlig formuleringsevne på engelsk, erfaring med bruk av KGV fra Eu-supply.",Solid erfaring innenfor området som etterspørres.,,Politiets fellestjenester,Offentlig og stat,2023
Prosjektleder for digitaliseringsprosjekt,Prosjektledelse,Erfaring med prosjektledelse av store digitaliseringsprosjekter,Minimum 5 års erfaring i prosjektledelse,"Sterke lederegenskaper, evne til å håndtere kompleksitet",NAV,Offentlig og stat,2023
Forretningsrådgiver innen prosessutvikling,Rådgivning forretning,Kompetanse innen prosessutvikling og gevinstrealisering,5 års erfaring med prosessutvikling,"Analytisk, strategisk tenkning",NAV,Offentlig og stat,2023
Virksomhetsarkitekt,Virksomhetsarkitektur,Bred forståelse av virksomhets- og løsningsarkitektur,8 års erfaring innen arkitektur,"Helhetlig syn, evne til å kommunisere komplekse konsepter",NAV,Offentlig og stat,2023
Koordinator for prosjektet aktivitetsbaserte kontorarbeidsplasser,Prosjektledelse,"Erfaring med prosjekt- og tjenesteutvikling, analyse og forståelse av ulike behov i involverte tjenester, effektiv måloppnåelse gjennom nye arbeidsformer, samarbeid, organisering og tjenesteutvikling.",15 års erfaring fra kommunal sektor med hovedvekt på prosjekt- og tjenesteutvikling.,"Koordinering av prosjektaktiviteter, effektiv forankring, dokumentering og informasjonshåndtering.",Drammen kommune,Kommuner,2023
Koordinator for prosjektet aktivitetsbaserte kontorarbeidsplasser,Prosessledelse og fasilitering,"Tverrfaglig tilnærming, evne til å koordinere og samkjøre leveranser, erfaring med fasilitering og prosessledelse i kommunal sektor, forståelse for kommunale tjenester, planlegging og gjennomføring av behovskartlegging.","15 års erfaring fra kommunal sektor med fokus på prosjekt- og tjenesteutvikling, erfaring fra prosjekter med innføring av aktivitetsbasert arbeidsform.","Evne til å veilede, bevisstgjøre og forankre ny praksis hos alle interessenter, dokumentasjon og informasjonshåndtering.",Drammen kommune,Kommuner,2023
Koordinator for prosjektet aktivitetsbaserte kontorarbeidsplasser,Prosessledelse og fasilitering,Endringsledelse og org.psykologi,,,Drammen kommune,Kommuner,2023
Prosjektleder for prosjektledelse og rådgivning,Prosjektledelse,"Forståelse for prosjektledelse, rådgivning innen digitalisering og prosessutvikling, samt erfaring med smidig metodikk.","Erfaring med store og mellomstore prosjekter, spesielt innen digitalisering og prosessutvikling.","Evne til å drive prosesser, kvalitetssikring, samt kompetanseoverføring til oppdragsgiver.",NAV,Offentlig og stat,2023
Arkitekt innen virksomhet og forretningsrådgivning,Virksomhetsarkitektur,"Kompetanse innen virksomhetsarkitektur, forretningsarkitektur, samt evne til å gi råd om utviklingstiltak.",Erfaring med å skape og formidle helhetsbilde av virksomheten.,Evne til å bidra til prosesser for beslutningsforslag og utvikling.,NAV,Offentlig og stat,2023
Forretningsrådgiver for strategisk bemanningsstyring,Rådgivning forretning,"Strategisk rådgivning innen bemanning, rekruttering og organisasjonsutvikling.","Erfaring innen bemanningsstyring, inkludert anvendelse av rekruttering og omstilling.",Analytisk evne til å sette rammer for innovasjon og utviklingstiltak.,NAV,Offentlig og stat,2023
Senior strategisk rådgiver,Rådgivning forretning,"Relevant utdanning fra høyskole eller universitet på minimum bachelornivå. Lang og relevant arbeidserfaring kan kompensere for utdanningskravet. Dokumentert minimum 3 års erfaring fra prosjektarbeid. Dokumentert erfaring fra arbeid med og kunnskap om helseregistre, automatisert innrapportering, herunder utfordringer, behov, mål og strategisk utvikling på området i helse- og omsorgssektoren.","Stig har mer enn 20 års arbeidserfaring, det meste fra prosjektarbeid. De siste fire årene har han arbeidet med Helseplattformen.",Svært god evne til muntlig og skriftlig fremstilling på norsk.,Direktoratet for e-helse,Helse,2023
Teknisk prosjektleder ifm. utredningsprosjekt,Prosjektledelse,"Sertifisering innenfor prosjektledelse (PRINCE2 eller tilsvarende). Høyere relevant utdanning / Minimum Bachelor eller tilsvarende. Relevant erfaring fra arbeid som prosjektleder og omfattende erfaring med prosjektarbeid med IT-prosjekter som involverer flere aktører, behovskartlegging, tverrfaglig koordinering/samhandling, interessenthåndtering mm. med fokus på blant annet datasikkerhet og GDPR.","Erfaring og domenekompetanse innen bompengesektoren. Relevant prosjekterfaring med risikohåndtering, leverandøroppfølging, kommunikasjon og kvalitetssikring av leveranser.","Endringsvillig og evne til å raskt sette seg inn i nye situasjoner og problemstillinger, Proaktiv, selvstendig og lærevillig, Strukturert og analytisk, Gode samarbeidsevner, Meget god skriftlig og muntlig fremstillingsevne (norsk), Stor arbeidskapasitet og selvgående med sterk gjennomføringsevne, God virksomhets- og prosessforståelse, Gode formidlings- og formuleringsevner",Statens vegvesen,Offentlig og stat,2023
Teknisk prosjektleder POC,Prosjektledelse,"Sertifisering innenfor prosjektledelse (PRINCE2 eller tilsvarende). Høyere relevant utdanning / Minimum Bachelor eller tilsvarende. Relevant erfaring fra arbeid som prosjektleder og erfaring med prosjektarbeid med IT-prosjekter som involverer flere aktører, behovskartlegging, tverrfaglig koordinering/samhandling, interessenthåndtering mm. med fokus på datasikkerhet.","Relevant prosjekterfaring med risikohåndtering, leverandøroppfølging, kommunikasjon og kvalitetssikring av leveranser. Relevant erfaring som teknisk/IT-teknisk prosjektleder med god teknisk forståelse og erfaring fra gjennomføring av Proof of concept.","Endringsvillig og evne til å raskt sette seg inn i nye situasjoner og problemstillinger, Proaktiv, selvstendig og lærevillig, Strukturert og analytisk, Gode samarbeidsevner, Meget god skriftlig og muntlig fremstillingsevne (norsk), Stor arbeidskapasitet og selvgående med sterk gjennomføringsevne, God virksomhets- og prosessforståelse, Gode formidlings- og formuleringsevner",Statens vegvesen,Offentlig og stat,2023
